birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1935	2005	35484	10302	12787	36	14823	256	0	1	6	0	32	38	0	0	1	0	0	0	0	0	0	0	0	0
1920	2005	86310	12859	6371	83958	750	5	0	1			1	1												
1915	2005	41231	6337	3122	40354	455		1																	
1930	2005	61467	53513	11099	531	5370	178			3		9	7			1								1	
1955	2005	10663		3478	0	6018	1231		113	28		75	76	27		20		9	0						
1910	2005	8767	1303	532	8473	193	1		1					1											
1940	2005	31146	64	25035	8	5967	458		7	20		57	60	3		7									
1925	1990	41532	15502	3858	28803	1450	3	0		1		1	1			1	0								0
1945	2005	36765	6	35564	2	1011	1006		42	23		68	70	10		8		3							
1925	2005	76310	31950	8708	51324	1994	14	0		1		9	7												
1950	2005	19524	4	16976		2014	1289		55	34		54	57	16		18		5							
1920	1975	22046	2617	1095	20387	643		0																1	0
1905	2005	1206	166	52	1164	33		1																	
1945	1995	13674	7	13300	4	317	302	0		7		31	27			4									
1910	1985	24551	2529	755	23507	694		45																	
1975	2005	764				116	403		316					84		7		15	0						
1895	1995	716	32	2	212	9		564									15								
1980	2005	1031				114	428		653					122		10		11	0						
1885	1975	2897	3	2	118	203		2593			11						17								
1925	1985	30110	11236	2715	21043	906		0																2	
1935	1990	11789	4196	3237	59	5020	19	0		2		5	9			1	0							1	0
1930	1995	34713	30651	6247	449	2838	83			6		9	6			3									
1940	1995	12086	21	9320	6	2722	167			9		22	20			2									
1985	2005	579				78	175		345					90		2		2	0						
1930	1990	25346	22204	3681	510	2054	19	0				4	5							0				3	0
1895	1975	13701	185	13	2273	570		11190			1						57						0	1	0
1915	1995	50341	7566	3225	49164	689	1	3																	
1910	1995	22553	2981	1079	21905	468		2				1	1												
1895	1985	6914	136	5	1308	215		5774									56							2	0
1915	1990	46944	5807	2071	45335	955	2	42												0				1	0
1920	1995	70933	11244	5088	69101	633	4					1	1												0
1910	1980	20720	2050	558	19697	676		43																1	
1940	1980	2761	31	1872	37	833						1													0
1900	1995	1630	212	24	1314	91		296									7								
1920	1980	31775	4053	1519	30261	604		0															0		
1890	1985	3122	29	1	191	74		2949			3						32			2				2	
1915	1985	39973	4800	1701	38574	767		42				1								0				3	0
1915	1980	30605	3506	1183	29315	682		32																2	
1935	1995	17275	5766	5602	27	7199	105			2		15	16			1									
1955	2000	6475	0	2199	0	3659	657		15	27		80	86	6		18		3	0						
1960	2005	4371		5		3111	1099		165	34		86	96	30		14		16	0						
1915	2000	52048	7912	3734	50879	620	2																	1	
1885	1960	13040	16	3	564	1410		11270			19						46		1				0		0
1885	1950	8873	15	3	355	1355		7231			31						53			1			0		
1900	1980	6684	513	42	4652	491		1754			0						6							1	
1890	1960	26238	82	6	1234	2456		22985			9						102		1				0	1	0
1965	2005	1850				715	1030		177	38		7	9	40		21		12	0						
1870	1955	1274	1		8	278		283			745						5			3					
1905	2000	4262	517	149	4084	139		6																	
1940	2000	20888	41	16730	6	4089	275			9		48	45			6		2							
1875	1960	2268	3	1	59	451		637			1210						10								
1895	1970	17838	163	9	2761	1048		14441			2						67						0		0
1935	2000	26791	8269	9143	24	11237	173			5		33	34	1		1									
1895	1965	24411	162	10	3637	2126		19273			3						117							1	0
