birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1936	2006	5631	1991	1853	7	2278	33	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
1920	2006	13084	1980	959	12807	103																			
1914	2006	3266	494	232	3164	62																			
1930	2006	10580	9734	1833	186	554	14					1	1												
1918	2006	9372	1409	703	9176	100																			
1958	2006	1249		22		1025	186		19	2		10	13	2		2		1							
1912	2006	1642	230	92	1596	33																			
1954	2006	2159		1529		524	176		16	9		15	16	3		5		2							
1942	2006	5083	7	4269	2	797	71		1	2		7	9												
1926	1992	7236	1915	578	5965	179	2	4		1		1	1			1									1
1932	2006	9427	8415	1672	21	656	25			1		1													
1934	2006	7062	4561	1679	3	1790	41			1		4	4			1									
1948	2006	5356	1	5153		159	173		11	6		9	9			3		1							
1926	2006	12486	3571	1179	10584	166	2					2	1		1										
1938	2006	4813	87	2292	6	2448	44					3	2												
1952	2006	2743	1	2299		347	210		7	3		11	8	2		2		1							
1920	1976	3698	423	193	3443	103		5																1	
1906	2006	145	24	5	138	4																			
1924	2006	14298	2447	1110	13576	118	1					1	1												
1916	2006	5687	896	440	5569	66		1																	
1950	2006	3624		3331		231	182		6	5		8	10	3		3		1							
1944	1998	2117		2031	1	81	42			3		5	4			1									
1914	1984	4573	496	157	4384	116		7																	
1922	2006	14157	2035	1019	13797	110	1	1																	
1944	2006	4866	4	4625		224	92		5	4		13	15	1											
1978	2006	123				15	55		64					15		1		2	2						
1946	2006	6170		5996	1	149	150		2			7	8	1				2							
1898	1996	132	3		48	4		89																	
1982	2006	197				18	75		131					18		2		3	2						
1956	2006	1744		644	1	943	169		17	4		12	12	5		3		1							
1888	1976	764		1	23	52		693									2								
1940	2006	4310	14	2912		1374	52			4		12	11			2									
1926	1988	5571	1493	429	4622	116		5																	
1910	2006	782	113	41	758	17																			
1934	1994	3199	2156	686	5	780	8	1				2	2							1					
1928	2006	10674	7767	1698	3259	538	3					1	1												
1926	2004	11864	3432	1141	10036	145	1			1		2	2												
1932	1998	5936	5388	1060	19	362	20			1		1	1												
1930	1996	6303	5741	1141	171	363	7																		
1986	2006	114				16	28		77					7											
1932	1994	4688	4305	752	13	256	11					3	3												
1942	2004	4357	8	3643		694	63		1	4		8	7			3		1							
1898	1978	1569	33	4	539	57		1042									10								
1918	1996	9525	1420	632	9301	117		1																	
1912	1998	3593	495	198	3503	67																			
1894	1984	1461	13		101	33		1377									11								
1930	1998	6881	6275	1214	148	393	18			1		2	1												
1918	1992	8889	1126	436	8584	157		8																	
