birth	death	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR
1937	2007	26	9	0	15	0	0	0	0	0	0	0	0	0
1922	2007	20	9	144	1									
1922	2008	10	5	66										
1916	2008	5	3	19										
1930	2007	104	27	27	5									
1921	2008	9	5	55										
1960	2007				11	6		1						
1914	2008	2	2	6										
1920	2007	18	11	99	1									
1915	2007	3	1	27										
1955	2007		12		4	1								
1944	2008		26		4									
1929	1993	1		3										
1935	2007	57	24		22	1								
1934	2007	71	18	1	11									
1949	2007		50		2	1			1		1	1		
1942	2007		34		7	1								
1928	2007	42	11	71	2						1	1		
1941	2007		20		14									
1955	2006		4		1									
1921	1977	1		2										
1949	2008		32		3									
2007	2007			1										
1925	2007	27	11	112	1									
1932	2007	90	21	1	4									
1917	2007	10	2	64										
1936	2007	47	22		22									
1953	2008		18		2	2								
1945	2000		1											
1933	2007	87	9		1									
1921	2007	11	2	104	1									
1927	2007	31	5	108	2									
1919	2007	12	5	99	1									
1914	1986			1										
1943	2007		42		5	1								
1952	2007		34		5	1								
1946	2007		52		1									
1979	2007					1								
1950	2007		47		6	2								
1922	2006	4	2	12										
1947	2007		62		2	2								
1898	1998						1							
1984	2007							1						
1918	2007	6	4	73	2									
1959	2007		1		5	1								
1956	2007		15		8									
1933	2008	33	12	1										
1926	2007	23	10	127	1									
1924	2008	13	6	67	2									
1956	2008		7		2									
1942	2006		2											
1891	1978						1							
1943	2008		22		1	1								
1927	1989			1										
1912	2006			3										
1934	2008	30	9		4									
1917	2008	4	1	22										
1931	2007	103	15	3	2									
1935	1994	2												
1929	2007	70	10	41	7									
1926	2006	3	1	12										
1931	2008	33	9	6	1									
1934	1998	2												
1944	1999		1		1									
1923	2007	20	11	143										
1931	1999	4												
1943	2006		4		1									
1938	2007	13	14		25									
1929	2008	31	7	12	2									
1927	2008	9	1	48										
1924	2007	23	13	131										
1948	2007		73			4								
1954	2007		21		6	1								
1938	2008	6	4		9	1								
1987	2007				1			1						
1926	2008	14	10	67	1									
1916	2007	5	3	34	1									
1934	1995	1												
1930	2008	40	9	5	4									
1925	2008	6	3	60										
1944	2005		1											
1898	1980						1							
1957	2007		7		5	2		2						
1920	1997	1		3	1									
1945	2008		13		3									
1940	2007		24		21									
1918	2008	6	4	32	1									
1939	2008		10		6									
1945	2007		47		2									
1913	2000			1										
1950	2008		27											
1948	2008		23		2	2								
1953	2007		17		2	1								
1919	2006	1	1	7										
1896	1985						2							
1914	2007	3	2	24	2									
1931	1998	1												
1918	1997			1	1									
1920	1993	1	1	2										
1935	2008	25	5		8									
1921	1999			1										
1921	2006	3	1	9										
1912	1983	1		1										
1944	1985		1											
1902	1999			1										
1914	2006	2	2	3										
1931	1995	3	1											
1924	1983			2										
1938	2006	1	5		2									
1923	1995			4										
1928	2008	13	6	18										
1916	1994			1										
1927	2006	2	1	10										
1894	1987						1							
1921	1985			5										
1918	1981	1		1										
1936	1998				1									
1944	2007		42		10	1								
1939	2007	8	28		27	1								
1953	2006		1											
1937	2008	5	4		12	1								
1913	2007	1		18										
1947	2008		29			1								
1940	2008		11		10									
1957	2001					1								
1946	2006		4											
1962	2008				2	1								
1919	2008	1		31										
1921	1996			4										
1960	2008				4									
1985	2007					1		1						
1918	2005	1		2										
1961	2007				4	1			1					
1913	2008	1		8										
1920	2006			11										
1958	2008				4									
1951	2007		33		1	2								
1888	1963						1							
1921	2001			1										
1951	2006		2											
1958	2007		1		12	4								
1934	1999	2												
1962	2007				3	2								
1889	1951						1							
1902	1982						1							
